event_id_MM252,start_time,end_time,duration_seconds,max_concentration,mean_concentration,num_measurements,date,sensor,event_id_MM261,event_id_MM262,event_id_MM263,event_id_MM264,event_id_MM256,event_id_MM211,event_id_CM861
1.0,2014-03-03 08:54:51,2014-03-03 08:55:24,33.0,2.2,1.9941176470588236,34,2014-03-03,MM252,,,,,,,
2.0,2014-03-12 10:56:17,2014-03-12 10:58:06,109.0,2.2,2.048837209302326,86,2014-03-12,MM252,,,,,,,
3.0,2014-03-13 13:45:05,2014-03-13 13:45:08,3.0,0.7,0.7,4,2014-03-13,MM252,,,,,,,
4.0,2014-03-13 14:59:55,2014-03-13 14:59:56,1.0,0.7,0.7,2,2014-03-13,MM252,,,,,,,
5.0,2014-03-14 21:27:49,2014-03-14 21:29:12,83.0,0.8,0.7210526315789473,38,2014-03-14,MM252,,,,,,,
6.0,2014-03-14 21:33:37,2014-03-14 21:33:50,13.0,0.8,0.7428571428571429,14,2014-03-14,MM252,,,,,,,
7.0,2014-03-14 21:35:53,2014-03-14 21:39:08,195.0,1.1,0.8727272727272728,66,2014-03-14,MM252,,,,,,,
8.0,2014-03-15 00:06:53,2014-03-15 00:06:58,5.0,0.7,0.6999999999999998,6,2014-03-15,MM252,,,,,,,
9.0,2014-03-15 00:46:37,2014-03-15 00:46:38,1.0,0.7,0.7,2,2014-03-15,MM252,,,,,,,
10.0,2014-03-15 01:04:19,2014-03-15 01:04:24,5.0,0.9,0.8333333333333334,6,2014-03-15,MM252,,,,,,,
11.0,2014-03-15 01:10:31,2014-03-15 01:10:34,3.0,0.7,0.7,4,2014-03-15,MM252,,,,,,,
12.0,2014-03-15 01:17:13,2014-03-15 01:17:16,3.0,0.7,0.7,4,2014-03-15,MM252,,,,,,,
13.0,2014-03-15 01:22:51,2014-03-15 01:23:10,19.0,0.8,0.725,8,2014-03-15,MM252,,,,,,,
14.0,2014-03-15 01:38:17,2014-03-15 01:38:20,3.0,0.7,0.7,4,2014-03-15,MM252,,,,,,,
15.0,2014-03-15 02:20:47,2014-03-15 02:20:50,3.0,0.7,0.7,4,2014-03-15,MM252,,,,,,,
16.0,2014-03-15 02:28:11,2014-03-15 02:28:16,5.0,0.8,0.7333333333333334,6,2014-03-15,MM252,,,,,,,
17.0,2014-03-15 02:31:35,2014-03-15 02:35:56,261.0,1.7,1.0479166666666666,96,2014-03-15,MM252,,,,,,,
18.0,2014-03-15 02:38:45,2014-03-15 02:38:50,5.0,0.7,0.6999999999999998,6,2014-03-15,MM252,,,,,,,
19.0,2014-03-15 03:03:13,2014-03-15 03:03:20,7.0,0.8,0.75,8,2014-03-15,MM252,,,,,,,
20.0,2014-03-15 03:07:07,2014-03-15 03:07:14,7.0,0.8,0.8,8,2014-03-15,MM252,,,,,,,
21.0,2014-03-15 03:13:45,2014-03-15 03:13:48,3.0,0.7,0.7,4,2014-03-15,MM252,,,,,,,
22.0,2014-03-15 03:19:27,2014-03-15 03:21:20,113.0,0.8,0.7333333333333333,18,2014-03-15,MM252,,,,,,,
23.0,2014-03-15 03:25:13,2014-03-15 03:25:48,35.0,1.1,0.8583333333333334,24,2014-03-15,MM252,,,,,,,
24.0,2014-03-15 03:31:09,2014-03-15 03:32:32,83.0,0.7,0.7,16,2014-03-15,MM252,,,,,,,
25.0,2014-03-15 03:34:55,2014-03-15 03:38:10,195.0,0.9,0.8,26,2014-03-15,MM252,,,,,,,
26.0,2014-03-15 03:42:55,2014-03-15 03:45:36,161.0,1.1,0.8307692307692308,26,2014-03-15,MM252,,,,,,,
27.0,2014-03-15 03:52:57,2014-03-15 03:53:06,9.0,0.9,0.8,10,2014-03-15,MM252,,,,,,,
28.0,2014-03-15 04:25:11,2014-03-15 04:25:16,5.0,0.8,0.7333333333333334,6,2014-03-15,MM252,,,,,,,
29.0,2014-03-15 04:31:39,2014-03-15 04:33:06,87.0,0.8,0.7416666666666667,24,2014-03-15,MM252,,,,,,,
30.0,2014-03-15 05:21:49,2014-03-15 05:23:02,73.0,0.8,0.76,10,2014-03-15,MM252,,,,,,,
31.0,2014-03-15 05:27:13,2014-03-15 05:30:32,199.0,1.0,0.8294117647058823,34,2014-03-15,MM252,,,,,,,
32.0,2014-03-15 05:32:37,2014-03-15 05:34:50,133.0,1.2,0.8884615384615385,52,2014-03-15,MM252,,,,,,,
33.0,2014-03-15 05:39:03,2014-03-15 05:41:30,147.0,0.7,0.7,18,2014-03-15,MM252,,,,,,,
34.0,2014-03-15 05:45:41,2014-03-15 05:47:52,131.0,0.9,0.7666666666666666,24,2014-03-15,MM252,,,,,,,
35.0,2014-03-15 05:51:53,2014-03-15 05:51:58,5.0,0.7,0.6999999999999998,6,2014-03-15,MM252,,,,,,,
36.0,2014-03-15 05:59:03,2014-03-15 06:00:10,67.0,1.0,0.7727272727272727,22,2014-03-15,MM252,,,,,,,
37.0,2014-03-15 06:04:05,2014-03-15 06:05:18,73.0,1.1,0.85625,32,2014-03-15,MM252,,,,,,,
38.0,2014-03-15 06:18:49,2014-03-15 06:21:14,145.0,0.8,0.7666666666666666,24,2014-03-15,MM252,,,,,,,
39.0,2014-03-16 02:29:51,2014-03-16 02:29:58,7.0,0.8,0.75,8,2014-03-16,MM252,,,,,,,
40.0,2014-03-16 02:37:19,2014-03-16 02:37:26,7.0,0.7,0.7,8,2014-03-16,MM252,,,,,,,
41.0,2014-03-16 04:06:53,2014-03-16 04:06:54,1.0,0.7,0.7,2,2014-03-16,MM252,,,,,,,
42.0,2014-03-16 04:17:11,2014-03-16 04:17:12,1.0,0.7,0.7,2,2014-03-16,MM252,,,,,,,
43.0,2014-03-16 05:24:27,2014-03-16 05:27:12,165.0,0.8,0.7285714285714285,14,2014-03-16,MM252,,,,,,,
44.0,2014-03-16 05:29:51,2014-03-16 05:29:54,3.0,0.7,0.7,4,2014-03-16,MM252,,,,,,,
45.0,2014-03-16 05:34:13,2014-03-16 05:34:14,1.0,0.7,0.7,2,2014-03-16,MM252,,,,,,,
46.0,2014-03-16 06:37:31,2014-03-16 06:37:34,3.0,0.7,0.7,4,2014-03-16,MM252,,,,,,,
47.0,2014-03-16 06:40:27,2014-03-16 06:40:32,5.0,0.8,0.7666666666666666,6,2014-03-16,MM252,,,,,,,
48.0,2014-03-16 06:44:49,2014-03-16 06:44:54,5.0,0.7,0.6999999999999998,6,2014-03-16,MM252,,,,,,,
49.0,2014-03-16 06:47:59,2014-03-16 06:48:04,5.0,0.8,0.7666666666666666,6,2014-03-16,MM252,,,,,,,
50.0,2014-03-16 06:51:53,2014-03-16 06:52:00,7.0,1.0,0.9,8,2014-03-16,MM252,,,,,,,
51.0,2014-03-16 08:42:28,2014-03-16 08:45:33,185.0,1.0,0.790625,64,2014-03-16,MM252,,,,,,,
52.0,2014-03-16 13:27:00,2014-03-16 13:27:07,7.0,0.8,0.775,8,2014-03-16,MM252,,,,,,,
