event_id,start_time,end_time,duration_seconds,max_concentration,mean_concentration,num_measurements,date
1,2014-03-03 08:54:51,2014-03-03 08:55:24,33.0,2.2,1.9941176470588236,34,2014-03-03
2,2014-03-12 10:56:17,2014-03-12 10:58:06,109.0,2.2,2.048837209302326,86,2014-03-12
3,2014-03-13 13:45:05,2014-03-13 13:45:08,3.0,0.7,0.7,4,2014-03-13
4,2014-03-13 14:59:55,2014-03-13 14:59:56,1.0,0.7,0.7,2,2014-03-13
5,2014-03-14 21:27:49,2014-03-14 21:29:12,83.0,0.8,0.7210526315789473,38,2014-03-14
6,2014-03-14 21:33:37,2014-03-14 21:33:50,13.0,0.8,0.7428571428571429,14,2014-03-14
7,2014-03-14 21:35:53,2014-03-14 21:39:08,195.0,1.1,0.8727272727272728,66,2014-03-14
8,2014-03-15 00:06:53,2014-03-15 00:06:58,5.0,0.7,0.6999999999999998,6,2014-03-15
9,2014-03-15 00:46:37,2014-03-15 00:46:38,1.0,0.7,0.7,2,2014-03-15
10,2014-03-15 01:04:19,2014-03-15 01:04:24,5.0,0.9,0.8333333333333334,6,2014-03-15
11,2014-03-15 01:10:31,2014-03-15 01:10:34,3.0,0.7,0.7,4,2014-03-15
12,2014-03-15 01:17:13,2014-03-15 01:17:16,3.0,0.7,0.7,4,2014-03-15
13,2014-03-15 01:22:51,2014-03-15 01:23:10,19.0,0.8,0.725,8,2014-03-15
14,2014-03-15 01:38:17,2014-03-15 01:38:20,3.0,0.7,0.7,4,2014-03-15
15,2014-03-15 02:20:47,2014-03-15 02:20:50,3.0,0.7,0.7,4,2014-03-15
16,2014-03-15 02:28:11,2014-03-15 02:28:16,5.0,0.8,0.7333333333333334,6,2014-03-15
17,2014-03-15 02:31:35,2014-03-15 02:35:56,261.0,1.7,1.0479166666666666,96,2014-03-15
18,2014-03-15 02:38:45,2014-03-15 02:38:50,5.0,0.7,0.6999999999999998,6,2014-03-15
19,2014-03-15 03:03:13,2014-03-15 03:03:20,7.0,0.8,0.75,8,2014-03-15
20,2014-03-15 03:07:07,2014-03-15 03:07:14,7.0,0.8,0.8,8,2014-03-15
21,2014-03-15 03:13:45,2014-03-15 03:13:48,3.0,0.7,0.7,4,2014-03-15
22,2014-03-15 03:19:27,2014-03-15 03:21:20,113.0,0.8,0.7333333333333333,18,2014-03-15
23,2014-03-15 03:25:13,2014-03-15 03:25:48,35.0,1.1,0.8583333333333334,24,2014-03-15
24,2014-03-15 03:31:09,2014-03-15 03:32:32,83.0,0.7,0.7,16,2014-03-15
25,2014-03-15 03:34:55,2014-03-15 03:38:10,195.0,0.9,0.8,26,2014-03-15
26,2014-03-15 03:42:55,2014-03-15 03:45:36,161.0,1.1,0.8307692307692308,26,2014-03-15
27,2014-03-15 03:52:57,2014-03-15 03:53:06,9.0,0.9,0.8,10,2014-03-15
28,2014-03-15 04:25:11,2014-03-15 04:25:16,5.0,0.8,0.7333333333333334,6,2014-03-15
29,2014-03-15 04:31:39,2014-03-15 04:33:06,87.0,0.8,0.7416666666666667,24,2014-03-15
30,2014-03-15 05:21:49,2014-03-15 05:23:02,73.0,0.8,0.76,10,2014-03-15
31,2014-03-15 05:27:13,2014-03-15 05:30:32,199.0,1.0,0.8294117647058823,34,2014-03-15
32,2014-03-15 05:32:37,2014-03-15 05:34:50,133.0,1.2,0.8884615384615385,52,2014-03-15
33,2014-03-15 05:39:03,2014-03-15 05:41:30,147.0,0.7,0.7,18,2014-03-15
34,2014-03-15 05:45:41,2014-03-15 05:47:52,131.0,0.9,0.7666666666666666,24,2014-03-15
35,2014-03-15 05:51:53,2014-03-15 05:51:58,5.0,0.7,0.6999999999999998,6,2014-03-15
36,2014-03-15 05:59:03,2014-03-15 06:00:10,67.0,1.0,0.7727272727272727,22,2014-03-15
37,2014-03-15 06:04:05,2014-03-15 06:05:18,73.0,1.1,0.85625,32,2014-03-15
38,2014-03-15 06:18:49,2014-03-15 06:21:14,145.0,0.8,0.7666666666666666,24,2014-03-15
39,2014-03-16 02:29:51,2014-03-16 02:29:58,7.0,0.8,0.75,8,2014-03-16
40,2014-03-16 02:37:19,2014-03-16 02:37:26,7.0,0.7,0.7,8,2014-03-16
41,2014-03-16 04:06:53,2014-03-16 04:06:54,1.0,0.7,0.7,2,2014-03-16
42,2014-03-16 04:17:11,2014-03-16 04:17:12,1.0,0.7,0.7,2,2014-03-16
43,2014-03-16 05:24:27,2014-03-16 05:27:12,165.0,0.8,0.7285714285714285,14,2014-03-16
44,2014-03-16 05:29:51,2014-03-16 05:29:54,3.0,0.7,0.7,4,2014-03-16
45,2014-03-16 05:34:13,2014-03-16 05:34:14,1.0,0.7,0.7,2,2014-03-16
46,2014-03-16 06:37:31,2014-03-16 06:37:34,3.0,0.7,0.7,4,2014-03-16
47,2014-03-16 06:40:27,2014-03-16 06:40:32,5.0,0.8,0.7666666666666666,6,2014-03-16
48,2014-03-16 06:44:49,2014-03-16 06:44:54,5.0,0.7,0.6999999999999998,6,2014-03-16
49,2014-03-16 06:47:59,2014-03-16 06:48:04,5.0,0.8,0.7666666666666666,6,2014-03-16
50,2014-03-16 06:51:53,2014-03-16 06:52:00,7.0,1.0,0.9,8,2014-03-16
51,2014-03-16 08:42:28,2014-03-16 08:45:33,185.0,1.0,0.790625,64,2014-03-16
52,2014-03-16 13:27:00,2014-03-16 13:27:07,7.0,0.8,0.775,8,2014-03-16
53,2014-03-19 08:44:54,2014-03-19 08:45:31,37.0,2.2,2.031578947368421,38,2014-03-19
54,2014-03-21 12:52:37,2014-03-21 12:52:48,11.0,0.7,0.7,10,2014-03-21
55,2014-03-21 15:33:34,2014-03-21 15:34:27,53.0,0.8,0.7374999999999999,48,2014-03-21
56,2014-03-22 15:04:24,2014-03-22 15:04:25,1.0,0.7,0.7,2,2014-03-22
57,2014-03-22 15:07:48,2014-03-22 15:08:01,13.0,0.9,0.7999999999999999,14,2014-03-22
58,2014-03-22 15:22:18,2014-03-22 15:25:07,169.0,0.9,0.8035714285714286,112,2014-03-22
59,2014-03-22 15:42:58,2014-03-22 15:43:01,3.0,0.7,0.7,4,2014-03-22
60,2014-03-22 15:49:16,2014-03-22 15:50:27,71.0,0.7,0.7,4,2014-03-22
61,2014-03-27 11:18:28,2014-03-27 11:20:11,103.0,2.2,2.0404761904761903,84,2014-03-27
62,2014-03-30 11:36:10,2014-03-30 11:49:03,773.0,1.1,0.7993670886075949,316,2014-03-30
63,2014-03-30 16:14:34,2014-03-30 16:14:37,3.0,0.7,0.7,4,2014-03-30
64,2014-03-30 16:21:02,2014-03-30 16:21:05,3.0,0.7,0.7,4,2014-03-30
65,2014-03-30 16:30:08,2014-03-30 16:30:09,1.0,0.7,0.7,2,2014-03-30
66,2014-03-30 16:33:52,2014-03-30 16:34:55,63.0,0.7,0.7,8,2014-03-30
67,2014-03-30 16:40:06,2014-03-30 16:43:41,215.0,0.9,0.7605263157894736,76,2014-03-30
68,2014-03-31 12:06:09,2014-03-31 12:06:22,13.0,0.8,0.7571428571428571,14,2014-03-31
69,2014-03-31 12:43:24,2014-03-31 12:43:27,3.0,0.7,0.7,4,2014-03-31
70,2014-04-02 10:40:50,2014-04-02 10:42:35,105.0,30.0,6.626530612244898,98,2014-04-02
71,2014-04-03 13:26:53,2014-04-03 13:27:48,55.0,0.8,0.7294117647058824,34,2014-04-03
72,2014-04-03 16:04:21,2014-04-03 16:04:38,17.0,0.7,0.7,14,2014-04-03
73,2014-04-07 16:26:05,2014-04-07 16:28:02,117.0,0.8,0.72,30,2014-04-07
74,2014-04-07 16:30:53,2014-04-07 16:31:04,11.0,0.7,0.6999999999999998,12,2014-04-07
75,2014-04-07 17:04:35,2014-04-07 17:05:42,67.0,0.8,0.7230769230769231,26,2014-04-07
76,2014-04-08 09:48:19,2014-04-08 09:48:24,5.0,0.7,0.7,4,2014-04-08
77,2014-04-08 10:37:01,2014-04-08 10:37:04,3.0,0.7,0.7,4,2014-04-08
78,2014-04-08 10:43:45,2014-04-08 10:43:48,3.0,0.7,0.7,4,2014-04-08
79,2014-04-08 12:00:49,2014-04-08 12:01:04,15.0,0.7,0.7,16,2014-04-08
80,2014-04-08 12:17:55,2014-04-08 12:18:02,7.0,0.7,0.7,8,2014-04-08
81,2014-04-08 13:29:30,2014-04-08 13:29:49,19.0,0.7,0.7,20,2014-04-08
82,2014-04-08 13:32:30,2014-04-08 13:36:33,243.0,1.0,0.7666666666666666,138,2014-04-08
83,2014-04-08 13:38:40,2014-04-08 13:38:45,5.0,0.7,0.6999999999999998,6,2014-04-08
84,2014-04-08 13:41:34,2014-04-08 13:47:29,355.0,0.9,0.7428571428571429,70,2014-04-08
85,2014-04-08 13:52:00,2014-04-08 13:52:05,5.0,0.7,0.6999999999999998,6,2014-04-08
86,2014-04-08 14:08:52,2014-04-08 14:09:55,63.0,0.8,0.7444444444444445,36,2014-04-08
87,2014-04-08 14:19:18,2014-04-08 14:21:03,105.0,1.2,0.8382978723404255,94,2014-04-08
88,2014-04-08 14:40:54,2014-04-08 14:41:55,61.0,0.8,0.7307692307692307,26,2014-04-08
89,2014-04-08 15:23:56,2014-04-08 15:34:45,649.0,0.9,0.7224137931034482,232,2014-04-08
90,2014-04-08 15:37:14,2014-04-08 15:37:59,45.0,0.8,0.73,20,2014-04-08
91,2014-04-10 02:29:11,2014-04-10 02:29:22,11.0,0.7,0.6999999999999998,12,2014-04-10
92,2014-04-10 02:50:41,2014-04-10 02:50:54,13.0,0.7,0.7,14,2014-04-10
93,2014-04-10 03:43:09,2014-04-10 03:46:30,201.0,0.8,0.732,50,2014-04-10
